cui,code
C0040156,PheCode:242.0
C1560331,PheCode:532.0
C0161518,PheCode:963.0
C0595989,PheCode:149.4
C1260443,PheCode:250.42
C0580546,PheCode:250.4
C0156604,PheCode:636.3
C0333297,PheCode:707.3
C0157738,PheCode:707.0
C0008511,PheCode:363.0
C0023473,PheCode:204.22
C0023470,PheCode:204.2
C0012739,PheCode:286.6
C0346156,PheCode:610.4
C0160538,PheCode:870.6
C0086588,PheCode:260.22
C1998978,PheCode:260.3
C0013396,PheCode:536.8
C0156084,PheCode:536.0
C0042140,PheCode:618.0
C0497581,PheCode:187.0
C3714756,PheCode:315.3
C0155910,PheCode:503.0
C0037952,PheCode:334.1
C0155528,PheCode:389.3
C3887873,PheCode:389.0
C0014175,PheCode:615.0
C0494165,PheCode:198.4
C1847835,PheCode:694.1
C0004991,PheCode:208.0
C4554624,PheCode:275.51
C0155954,PheCode:526.5
C0478140,PheCode:1004.0
C0153340,PheCode:145.1
C0701168,PheCode:395.3
C0156182,PheCode:569.0
C2030717,PheCode:520.1
C0017181,PheCode:578.9
C0017181,PheCode:578.0
C0020506,PheCode:253.1
C0149516,PheCode:475.0
C0021403,PheCode:481.0
C0423729,PheCode:512.2
C0020578,PheCode:513.4
C0003872,PheCode:696.42
C0033860,PheCode:696.4
C1290601,PheCode:750.21
C0153464,PheCode:159.4
C0153468,PheCode:159.0
C0236664,PheCode:317.0
C0155572,PheCode:394.1
C4553925,PheCode:512.1
C0159063,PheCode:599.9
C0810275,PheCode:401.3
C0265004,PheCode:447.7
C0003860,PheCode:446.9
C0162871,PheCode:442.11
C0340629,PheCode:442.1
C0274526,PheCode:962.0
C0029595,PheCode:277.2
C0003862,PheCode:745.0
C0746507,PheCode:627.2
C0717360,PheCode:130.1
C0037974,PheCode:130.0
C0149931,PheCode:340.0
C0311355,PheCode:259.8
C0010623,PheCode:577.3
C0030286,PheCode:577.0
C0235618,PheCode:580.11
C0017658,PheCode:580.1
C0041834,PheCode:695.9
C0017154,PheCode:535.2
C1962972,PheCode:269.0
C0154251,PheCode:272.9
C0152226,PheCode:374.2
C0154211,PheCode:258.1
C0268613,PheCode:270.11
C0268641,PheCode:270.1
C0019080,PheCode:459.1
C0002736,PheCode:334.21
C0154681,PheCode:334.2
C0038002,PheCode:579.2
C0700639,PheCode:750.5
C0161693,PheCode:983.0
C4552820,PheCode:276.41
C0701157,PheCode:287.31
C0392386,PheCode:287.3
C0009726,PheCode:691.3
C3695318,PheCode:401.22
C0016202,PheCode:735.1
C0016507,PheCode:735.0
C0392682,PheCode:402.0
C0037650,PheCode:303.4
C1456587,PheCode:539.0
C0034186,PheCode:590.0
C1561822,PheCode:1013.0
C0375314,PheCode:458.2
