"PheCode","CUI"
"090_","C0039131|C0343666|C0153129|C0275859|C2039668|C0153132|C0153133|C0153134|C0153135|C0153136|C0275874|C0554634|C0153139|C0017418|C0153140|C0153141|C0343677|C0275834|C0275836|C0153145|C0153146|C0343676|C0153148|C0153149|C0153150|C0153151|C0348147|C0851315|C0002181|C0149985|C0275842|C0153156|C0039130|C0275844|C0003511|C0153158|C0340334|C0153160|C0153161|C0153162|C0153163|C0029751|C0153164|C0153165|C0027927|C0039223|C0205858|C0153166|C0153167|C0029817|C0153168|C0153169|C0153170|C0153171|C0153172|C0153173|C0153174|C0348149|C0153176|C0153177|C0153178|C0153179|C0153180|C0153181|C0153182|C0153183|C0343689|C0153185|C1260915|C0558995|C0153188|C0039133|C0039128|C0153229|C0007947|C0024286|C0018190|C1112700|C0375031|C1278807|C0375033|C0375034|C0029840|C0036916|C2349705|C2349710|C0018081|C0018074|C0375028|C0153191|C0153192|C0153193|C0578661|C0153195|C0153196|C0275654|C0153198|C0153199|C0375029|C0153202|C0153203|C0153204|C0153205|C0153206|C0153207|C0153208|C0153209|C0153210|C0029076|C0153212|C0153213|C0153214|C0153215|C0153216|C0343714|C0153218|C0153219|C0153220|C0149966|C0153222|C0153223|C0018075|C0153225|C0153226|C0153227|C0153228|C0018077|C0375035|C0375036|C0348903|C0348904|C0375039|C0348157|C0375041|C0375042|C0153131|C0153194|C0809958"
"090_2","C0018081|C0018074|C0375028|C0153191|C0153192|C0153193|C0578661|C0153195|C0153196|C0275654|C0153198|C0153199|C0375029|C0153202|C0153203|C0153204|C0153205|C0153206|C0153207|C0153208|C0153209|C0153210|C0029076|C0153212|C0153213|C0153214|C0153215|C0153216|C0343714|C0153218|C0153219|C0153220|C0149966|C0153222|C0153223|C0018075|C0153225|C0153226|C0153227|C0153228|C0018077|C0153194"
"090_3","C0375035|C0375036|C0348903|C0348904|C0375039|C0348157|C0375041|C0375042"
"1000_","C0160790|C0160791|C0160792|C0160793|C0160794|C0273934|C1306015|C0161029|C0161030|C0161031|C0161032|C0161033|C2004482|C0496029|C0273940|C0161036|C0006421|C0161037|C0161038|C0869240|C0273970|C0161041|C0273982|C0161043|C0161044|C0273941|C0161046|C0161047|C0161048|C0433307|C0161050|C0375673|C0161052|C0161053|C0161054|C0161055|C0375674|C0273948|C0161058|C0161059|C0161060|C0161061|C0161062|C0161063|C0161064|C0161065|C0161066|C0161067|C0161068|C0161069|C0161070|C0161071|C0161072|C0161073|C0161074|C0161075|C0161076|C0161077|C0161078|C0161079|C0161080|C0161081|C0161082|C0161083|C0161084|C0161085|C0161086|C0161087|C0161088|C0161089|C0161090|C0161091|C0161092|C0161093|C0161094|C0161095|C0161096|C0161097|C0161098|C0161099|C1812614|C1812615|C0273993|C0840791|C0274005|C0274011|C0161105|C0161106|C0161107|C0840795|C0161109|C0161110|C0840797|C0840798|C0161113|C0161114|C0433353|C0840801|C0840802|C0161118|C0840804|C0840805|C0161121|C0161122|C0161123|C0840808|C0433480|C0161126|C0433482|C0840810|C0161129|C0161130|C0161132|C0161133|C0161134|C0375675|C0375676|C0375677|C0161138|C0161139|C0161140|C0161141|C0161142|C0375678|C0375679|C0375680|C0161146|C0433193|C0375681|C0274035|C0274071|C0274065|C0161151|C0274053|C0274041|C0274047|C0161155|C0161156|C0161157|C0161158|C0161159|C0161160|C0161161|C0161162|C0161163|C0161164|C0161165|C0161166|C0161167|C0161168|C0161169|C0161170|C0161171|C0161172|C0161173|C0161174|C0161175|C0161176|C0161177|C0161178|C0274056|C0161180|C0161181|C0161182|C0161183|C0161184|C0161185|C0161186|C0161187|C0161188|C0161189|C0161190|C0161191|C0859851|C0161193|C0161194|C0161195|C0161196|C0161197|C0161198|C0161199|C0161200|C0433205|C1812619|C0274089|C0161203|C0161204|C0161205|C0161206|C0161207|C0161208|C0274083|C0161210|C0161211|C0274090|C0161213|C0161214|C0161215|C1112529|C0161217|C0161218|C0274084|C0161220|C0161221|C0274133|C0161223|C0161224|C0161225|C0161226|C0161227|C0161228|C1443011|C0161230|C0274134|C0161232|C0161233|C0161234|C0161235|C0161236|C0161237|C0161238|C1443010|C0161240|C0161241|C0161242|C0161243|C0161244|C0161245|C0161246|C0161247|C0161248|C0161249|C0161250|C0161251|C0161252|C0161253|C0161254|C0161255|C0161256|C0161257|C0161258|C0161259|C0161260|C0274137|C1812618|C1812617|C0161263|C0274167|C0274161|C0274155|C0274149|C0274143|C0161269|C0161270|C0161271|C0161272|C0161273|C0161274|C0161275|C0161276|C0161277|C0161278|C0161279|C0161280|C0161281|C0161282|C0161283|C0161284|C0161285|C0161286|C0161287|C0161288|C0161289|C0161290|C0161291|C0161292|C0161293|C0161294|C0161295|C0161296|C0161298|C0375683|C0161300|C0161301|C0161302|C0161303|C0161304|C0161305|C0161307|C0375684|C0161309|C0161310|C0161311|C0161312|C0161313|C0161314|C0161315|C1812616|C0161316|C0161317|C0161318|C0161319|C0161320|C0006420|C0161321|C0161322|C0162286|C0161323|C0433217|C0161325|C0433219|C0161327|C0161328|C0161329|C0161330|C0161331|C0161332|C0161333|C0161334|C0161335|C0161336|C0161337|C0161338|C0161339|C0161340|C0161341|C0161342|C0161343|C0161344|C0161345|C0161346|C0161347|C0161348|C0161349|C0161350|C0161351|C0161352|C0161353|C0161354|C0161355|C0161356|C0161357|C0161358|C0161359|C0161360|C0161361|C0161362|C0161363|C0161364|C0161365|C0161366|C0161367|C0161368|C0161369|C0161370|C0161371|C0161372|C0161373|C0161374|C0161375|C0161376|C0161377|C0161378|C0161379|C0161380|C0161381|C0161382|C0161383|C0161384|C0161385|C0161386|C0161387|C0161388|C0161389|C0161390|C0161391|C1812606|C0006434|C0332686|C0332687|C0375688|C0161395|C0161396"
"1001_","C0271008|C0154792|C0154793|C0154794|C0154795|C0154796|C0154797|C0271015|C0375246|C0154799|C0154800|C0154801|C0154802|C0154803|C0154804|C0339097|C0155283|C0155493|C0158368|C0273244|C0160464|C0160471|C0160472|C0160808|C0161001|C0161002|C0161003|C0161004|C0161005|C0161007|C0161008|C0161009|C0161010|C0161011|C0686705|C0161013|C0161014|C0161015|C0161016|C0161017|C0161018|C0149532|C0161019|C0161020|C0161021|C0016546|C0161022|C0161023|C0433686|C0161025|C0161026|C0261693|C0261694|C2921301"
"1002_","C0476235|C0043096|C0699815"
"1003_","C0520806|C0038644|C0021614|C0277590|C0152229|C0011071"
"1004_","C0495691|C0027769|C0022107|C0564567|C0085633|C0476478|C0478140"
"1005_","C0159028|C0029625|C1135254|C0497134|C0239233|C1719639|C0281856|C0232488|C3257980"
"1006_","C0274276|C0160961|C0375669|C0273433|C0160962|C0160963|C0160964|C0160965|C0160966|C0160967|C0160969|C0160970|C0160971|C0160972|C0160973|C0160974|C0160975|C0160976|C0160977|C0160978|C0160979|C0273444|C0160981|C0273445|C0160983|C0160985|C0160986|C0160987|C0160988|C0160989|C0160990|C0160991|C0160992|C0160993|C0160994|C0273448|C0160996|C0451984|C0868762|C0332679"
