cui,code
C0176984,CCS-PCS-ext:103
C0177019,CCS-PCS-ext:112
C0177137,CCS-PCS-ext:116
C0177279,CCS-PCS-ext:137
C0177505,CCS-PCS-ext:159
C0177507,CCS-PCS-ext:150
C0177601,CCS-PCS-ext:160
C0177666,CCS-PCS-ext:165
C0177667,CCS-PCS-ext:165
C0177682,CCS-PCS-ext:175
C0177695,CCS-PCS-ext:173
C0177703,CCS-PCS-ext:171
C0177779,CCS-PCS-ext:180
C0177800,CCS-PCS-ext:197
C0177804,CCS-PCS-ext:174
C0177994,CCS-PCS-ext:209
C0177999,CCS-PCS-ext:210
C0184836,CCS-PCS-ext:237
C0184922,CCS-PCS-ext:173
C0184968,CCS-PCS-ext:175
C0185076,CCS-PCS-ext:172
C0185169,CCS-PCS-ext:160
C0185202,CCS-PCS-ext:159
C0185203,CCS-PCS-ext:159
C0185204,CCS-PCS-ext:159
C0185207,CCS-PCS-ext:159
C0185210,CCS-PCS-ext:142
C0185221,CCS-PCS-ext:169
C0185281,CCS-PCS-ext:169
C0185283,CCS-PCS-ext:159
C0185284,CCS-PCS-ext:159
C0185285,CCS-PCS-ext:159
C0185289,CCS-PCS-ext:160
C0185290,CCS-PCS-ext:160
C0185291,CCS-PCS-ext:160
C0185322,CCS-PCS-ext:163
C0185324,CCS-PCS-ext:161
C0185334,CCS-PCS-ext:156
C0185335,CCS-PCS-ext:159
C0185337,CCS-PCS-ext:156
C0185341,CCS-PCS-ext:156
C0185350,CCS-PCS-ext:161
C0185359,CCS-PCS-ext:161
C0185360,CCS-PCS-ext:161
C0185379,CCS-PCS-ext:164
C0185474,CCS-PCS-ext:160
C0185475,CCS-PCS-ext:160
C0185476,CCS-PCS-ext:160
C0185477,CCS-PCS-ext:161
C0185483,CCS-PCS-ext:214
C0185488,CCS-PCS-ext:214
C0185489,CCS-PCS-ext:214
C0185502,CCS-PCS-ext:214
C0185503,CCS-PCS-ext:214
C0185504,CCS-PCS-ext:214
C0185512,CCS-PCS-ext:164
C0185516,CCS-PCS-ext:26
C0185527,CCS-PCS-ext:161
C0185556,CCS-PCS-ext:142
C0185562,CCS-PCS-ext:142
C0185566,CCS-PCS-ext:142
C0185569,CCS-PCS-ext:142
C0185572,CCS-PCS-ext:142
C0185573,CCS-PCS-ext:142
C0185575,CCS-PCS-ext:142
C0185576,CCS-PCS-ext:142
C0185578,CCS-PCS-ext:164
C0185579,CCS-PCS-ext:164
C0185580,CCS-PCS-ext:142
C0185588,CCS-PCS-ext:155
C0185590,CCS-PCS-ext:226
C0185597,CCS-PCS-ext:161
C0185598,CCS-PCS-ext:142
C0185602,CCS-PCS-ext:144
C0185607,CCS-PCS-ext:144
C0185608,CCS-PCS-ext:144
C0185609,CCS-PCS-ext:144
C0185610,CCS-PCS-ext:144
C0185611,CCS-PCS-ext:144
C0185612,CCS-PCS-ext:161
C0185613,CCS-PCS-ext:161
C0185614,CCS-PCS-ext:161
C0185615,CCS-PCS-ext:161
C0185616,CCS-PCS-ext:161
C0185617,CCS-PCS-ext:144
C0185621,CCS-PCS-ext:144
C0185622,CCS-PCS-ext:144
C0185623,CCS-PCS-ext:161
C0185629,CCS-PCS-ext:144
C0185633,CCS-PCS-ext:144
C0185634,CCS-PCS-ext:144
C0185635,CCS-PCS-ext:144
C0185650,CCS-PCS-ext:161
C0185664,CCS-PCS-ext:144
C0185668,CCS-PCS-ext:161
C0185680,CCS-PCS-ext:144
C0185692,CCS-PCS-ext:144
C0185696,CCS-PCS-ext:161
C0185708,CCS-PCS-ext:154
C0185709,CCS-PCS-ext:154
C0185711,CCS-PCS-ext:144
C0185718,CCS-PCS-ext:164
C0185719,CCS-PCS-ext:164
C0185720,CCS-PCS-ext:33
C0185722,CCS-PCS-ext:164
C0185723,CCS-PCS-ext:161
C0185725,CCS-PCS-ext:161
C0185726,CCS-PCS-ext:164
C0185727,CCS-PCS-ext:172
C0185728,CCS-PCS-ext:172
C0185729,CCS-PCS-ext:172
C0185733,CCS-PCS-ext:29
C0185750,CCS-PCS-ext:144
C0185751,CCS-PCS-ext:144
C0185776,CCS-PCS-ext:164
C0185779,CCS-PCS-ext:168
C0185781,CCS-PCS-ext:168
C0185783,CCS-PCS-ext:142
C0185788,CCS-PCS-ext:161
C0185796,CCS-PCS-ext:160
C0185797,CCS-PCS-ext:160
C0185802,CCS-PCS-ext:159
C0185805,CCS-PCS-ext:160
C0185824,CCS-PCS-ext:164
C0185829,CCS-PCS-ext:142
C0185830,CCS-PCS-ext:142
C0185845,CCS-PCS-ext:142
C0185848,CCS-PCS-ext:142
C0185849,CCS-PCS-ext:142
C0185851,CCS-PCS-ext:142
C0185854,CCS-PCS-ext:159
C0185855,CCS-PCS-ext:159
C0185856,CCS-PCS-ext:160
C0185856,CCS-PCS-ext:170
C0185857,CCS-PCS-ext:160
C0185858,CCS-PCS-ext:159
C0185860,CCS-PCS-ext:160
C0185860,CCS-PCS-ext:170
C0185861,CCS-PCS-ext:160
C0185876,CCS-PCS-ext:148
C0185890,CCS-PCS-ext:164
C0185900,CCS-PCS-ext:148
C0185901,CCS-PCS-ext:214
C0185902,CCS-PCS-ext:214
C0185903,CCS-PCS-ext:214
C0185904,CCS-PCS-ext:214
C0185905,CCS-PCS-ext:214
C0185910,CCS-PCS-ext:164
C0185919,CCS-PCS-ext:161
C0185940,CCS-PCS-ext:159
C0185944,CCS-PCS-ext:159
C0185948,CCS-PCS-ext:159
C0185961,CCS-PCS-ext:158
C0185964,CCS-PCS-ext:158
C0185965,CCS-PCS-ext:158
C0185966,CCS-PCS-ext:158
C0186053,CCS-PCS-ext:162
C0186066,CCS-PCS-ext:161
C0186069,CCS-PCS-ext:9
C0186086,CCS-PCS-ext:162
C0186087,CCS-PCS-ext:162
C0186088,CCS-PCS-ext:162
C0186092,CCS-PCS-ext:162
C0186096,CCS-PCS-ext:162
C0186099,CCS-PCS-ext:162
C0186100,CCS-PCS-ext:162
C0186101,CCS-PCS-ext:162
C0186105,CCS-PCS-ext:160
C0186106,CCS-PCS-ext:160
C0186107,CCS-PCS-ext:9
C0186108,CCS-PCS-ext:160
C0186109,CCS-PCS-ext:160
C0186110,CCS-PCS-ext:162
C0186111,CCS-PCS-ext:162
C0186112,CCS-PCS-ext:161
C0186113,CCS-PCS-ext:162
C0186114,CCS-PCS-ext:162
C0186115,CCS-PCS-ext:161
C0186116,CCS-PCS-ext:162
C0186117,CCS-PCS-ext:162
C0186118,CCS-PCS-ext:161
C0186119,CCS-PCS-ext:162
C0186120,CCS-PCS-ext:162
C0186121,CCS-PCS-ext:162
C0186137,CCS-PCS-ext:159
C0186138,CCS-PCS-ext:159
C0186145,CCS-PCS-ext:160
C0186149,CCS-PCS-ext:162
C0186155,CCS-PCS-ext:157
C0186158,CCS-PCS-ext:160
C0186159,CCS-PCS-ext:160
C0186163,CCS-PCS-ext:142
C0186170,CCS-PCS-ext:142
C0186171,CCS-PCS-ext:161
C0186172,CCS-PCS-ext:159
C0186173,CCS-PCS-ext:159
C0186174,CCS-PCS-ext:162
C0186183,CCS-PCS-ext:162
C0186184,CCS-PCS-ext:162
C0186186,CCS-PCS-ext:155
C0186187,CCS-PCS-ext:226
C0186188,CCS-PCS-ext:226
C0186190,CCS-PCS-ext:149
C0186196,CCS-PCS-ext:153
C0186202,CCS-PCS-ext:153
C0186203,CCS-PCS-ext:153
C0186205,CCS-PCS-ext:153
C0186225,CCS-PCS-ext:162
C0186241,CCS-PCS-ext:162
C0186242,CCS-PCS-ext:162
C0186256,CCS-PCS-ext:162
C0186257,CCS-PCS-ext:142
C0186258,CCS-PCS-ext:153
C0186281,CCS-PCS-ext:161
C0186282,CCS-PCS-ext:160
C0186283,CCS-PCS-ext:160
C0186284,CCS-PCS-ext:160
C0186285,CCS-PCS-ext:160
C0186286,CCS-PCS-ext:160
C0186287,CCS-PCS-ext:160
C0186291,CCS-PCS-ext:162
C0186300,CCS-PCS-ext:148
C0186303,CCS-PCS-ext:146
C0186304,CCS-PCS-ext:146
C0186305,CCS-PCS-ext:146
C0186306,CCS-PCS-ext:146
C0186321,CCS-PCS-ext:162
C0186339,CCS-PCS-ext:160
C0186340,CCS-PCS-ext:160
C0186341,CCS-PCS-ext:162
C0186342,CCS-PCS-ext:161
C0186352,CCS-PCS-ext:160
