LOINC,va_path,phs_path,common root,diff level
3414-0,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9,LP29693-6,6
3432-2,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16061-1.LP390763-3,LP29693-6,6
35365-6,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP33184-0.LP385198-9,LP29693-6.LP343631-0.LP7786-9.LP31395-4,3
3665-7,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP15747-6.LP388969-0,LP29693-6,6
3746-5,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16184-1.LP389968-1,LP29693-6,6
3948-7,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14546-3.LP14729-5.LP390728-6,LP29693-6,7
3968-5,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14732-9.LP390830-0,LP29693-6,6
4073-3,LP29693-6.LP7791-9.LP31449-9.LP18893-5,LP29693-6.LP7790-1.LP18046-0.LP31449-9.LP18893-5.LP14735-2.LP391137-9,LP29693-6,6
4086-5,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16305-2.LP390867-2,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,2
4092-3,LP29693-6.LP7791-9.LP31450-7.LP31426-7,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP16306-0.LP389062-3,LP29693-6,6
4485-9,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16359-9.LP393725-9,LP29693-6.LP7803-2.LP16404-3,2
4498-2,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16371-4.LP393745-7,LP29693-6.LP7803-2.LP16404-3,2
4542-7,LP29693-6.LP7803-2.LP30786-5.LP30925-9,LP29693-6.LP7803-2.LP30786-5.LP30925-9.LP16411-8.LP393679-8,LP29693-6.LP7803-2.LP30786-5.LP30925-9,2
48792-6,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63141-3.LP385326-6,LP29693-6.LP343631-0.LP7786-9.LP31397-0,3
48793-4,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63142-1.LP385327-4,LP29693-6.LP343631-0.LP7786-9.LP31397-0,3
