CCS,l,r
63,36550,36550
54,36555,36573
63,36575,36576
54,36578,36585
63,36589,36593
54,36595,36595
63,36596,36596
54,36597,36597
226,36598,36598
231,36600,36600
54,36620,36660
67,36680,36680
57,36800,36821
50,36822,36822
54,36823,36823
57,36825,36830
61,36831,36831
57,36832,36835
63,36838,36838
56,36840,36845
61,36860,36870
57,36901,36909
56,37140,37183
61,37184,37188
57,37190,37190
63,37191,37195
54,37197,37197
62,37200,37200
54,37201,37203
61,37204,37208
54,37209,37209
61,37210,37210
54,37211,37211
61,37212,37214
59,37215,37216
61,37217,37249
197,37250,37253
61,37500,37500
62,37501,37501
59,37565,37606
61,37607,37607
59,37609,37615
61,37616,37660
53,37700,37785
61,37788,37799
66,38100,38129
226,38200,38200
67,38204,38204
64,38205,38215
65,38220,38222
67,38230,38230
64,38231,38231
67,38232,38232
64,38240,38243
67,38300,38780
226,38790,38792
67,38794,38999
42,39000,39220
40,39400,39402
42,39499,39501
86,39502,39541
42,39545,39599
31,40490,40490
33,40500,40801
229,40804,40805
32,40806,40806
31,40808,40808
33,40810,40816
172,40818,40818
32,40819,40819
33,40820,40820
32,40830,40831
33,40840,41009
32,41010,41010
33,41015,41018
211,41019,41019
31,41100,41108
33,41110,41114
32,41115,41115
33,41116,41155
32,41250,41252
33,41500,41599
29,41800,41806
33,41820,41820
29,41821,41850
33,41870,41872
29,41874,41899
32,42000,42000
31,42100,42100
33,42104,42340
31,42400,42405
33,42408,42510
226,42550,42550
33,42600,42725
31,42800,42806
33,42808,42808
229,42809,42809
33,42810,42815
30,42820,42836
33,42842,42845
30,42860,42870
33,42880,42955
32,42960,42960
33,42961,42962
27,42970,42970
33,42971,42999
94,43000,43020
33,43030,43030
94,43040,43136
70,43180,43193
229,43194,43194
69,43195,43196
70,43197,43212
69,43213,43214
229,43215,43215
93,43216,43216
70,43217,43219
69,43220,43226
93,43227,43227
70,43228,43232
69,43233,43233
70,43234,43242
68,43243,43244
93,43245,43245
71,43246,43246
70,43247,43247
69,43248,43249
70,43250,43259
82,43260,43265
70,43266,43266
82,43267,43269
70,43270,43270
82,43271,43278
94,43279,43280
86,43281,43282
94,43283,43288
87,43289,43289
94,43300,43331
86,43332,43337
94,43338,43361
68,43400,43400
94,43401,43425
69,43450,43460
75,43496,43496
94,43499,43502
69,43510,43510
94,43520,43520
70,43600,43600
89,43605,43605
94,43610,43611
74,43620,43634
94,43635,43635
74,43638,43639
94,43640,43641
244,43644,43645
94,43647,43652
71,43653,43653
87,43659,43659
71,43750,43750
221,43752,43757
71,43760,43760
94,43761,43761
71,43762,43763
244,43770,43775
94,43800,43825
71,43830,43832
94,43840,43840
244,43842,43843
94,43844,43844
244,43845,43848
94,43850,43882
86,43885,43885
244,43886,43888
94,43999,43999
90,44005,44005
92,44010,44010
73,44015,44015
92,44020,44020
96,44021,44021
92,44025,44025
99,44040,44040
96,44050,44055
92,44100,44100
79,44110,44111
75,44120,44128
73,44130,44130
99,44131,44131
75,44132,44133
176,44135,44136
99,44137,44137
78,44139,44160
96,44180,44180
73,44186,44187
72,44188,44188
90,44200,44200
73,44201,44201
75,44202,44203
78,44204,44208
87,44209,44209
78,44210,44213
96,44227,44227
87,44238,44239
73,44300,44316
72,44320,44345
86,44346,44346
70,44360,44361
229,44363,44363
99,44364,44369
96,44370,44372
71,44373,44373
70,44376,44377
93,44378,44378
70,44379,44386
76,44388,44389
229,44390,44390
76,44391,44408
98,44500,44500
99,44600,44600
96,44602,44604
72,44605,44605
99,44610,44610
94,44615,44615
96,44620,44660
75,44661,44661
96,44680,44701
95,44705,44705
176,44715,44721
96,44799,44901
80,44950,44979
96,45000,45020
77,45100,45100
96,45108,45108
78,45110,45136
96,45150,45150
78,45160,45160
96,45170,45170
78,45171,45172
96,45180,45180
95,45190,45190
77,45300,45305
229,45307,45307
77,45308,45331
229,45332,45332
77,45333,45350
76,45355,45378
229,45379,45379
76,45380,45393
78,45395,45397
76,45398,45398
96,45399,45400
78,45402,45402
87,45499,45499
76,45500,45505
98,45520,45520
96,45540,45541
78,45550,45550
129,45560,45560
96,45562,45562
72,45563,45563
96,45800,45800
72,45805,45805
96,45820,45820
72,45825,45825
96,45900,45915
97,45990,45990
96,45999,46080
81,46083,46083
96,46200,46211
95,46220,46220
81,46221,46262
96,46270,46288
81,46320,46500
96,46505,46505
77,46600,46607
229,46608,46608
77,46610,46615
96,46700,46742
132,46744,46748
96,46750,46762
95,46900,46924
81,46930,46936
95,46937,46942
81,46945,46947
96,46999,46999
83,47000,47001
99,47010,47015
83,47100,47100
99,47120,47134
176,47135,47147
99,47300,47399
84,47400,47460
99,47480,47490
226,47500,47505
99,47510,47511
98,47525,47530
226,47531,47532
99,47533,47535
98,47536,47537
99,47538,47542
97,47543,47543
99,47544,47544
84,47550,47550
97,47552,47553
99,47554,47556
97,47560,47561
84,47562,47564
99,47570,47570
87,47579,47579
84,47600,47630
97,47700,47700
99,47701,47801
73,47802,47802
99,47900,48000
73,48001,48001
99,48005,48020
97,48100,48102
99,48105,48148
73,48150,48150
99,48151,48151
73,48152,48154
99,48155,48155
176,48160,48160
99,48180,48180
97,48400,48400
99,48500,48550
176,48551,48554
99,48556,48999
89,49000,49010
99,49020,49061
67,49062,49062
88,49080,49084
99,49085,49085
97,49180,49180
99,49185,49215
89,49220,49220
99,49250,49255
87,49300,49303
84,49310,49311
80,49315,49315
87,49320,49322
67,49323,49323
87,49324,49329
97,49400,49401
99,49402,49407
98,49411,49411
99,49412,49423
97,49424,49424
99,49425,49426
97,49427,49427
99,49428,49436
71,49440,49440
73,49441,49446
71,49450,49450
73,49451,49451
71,49452,49452
99,49460,49460
226,49465,49465
85,49491,49535
86,49540,49540
85,49550,49557
86,49560,49611
85,49650,49651
86,49652,49659
99,49900,49999
103,50010,50081
61,50100,50100
103,50120,50135
110,50200,50205
104,50220,50240
112,50250,50290
104,50300,50340
105,50360,50365
104,50370,50370
105,50380,50380
111,50382,50390
112,50391,50392
102,50393,50393
226,50394,50394
103,50395,50395
200,50396,50396
111,50398,50398
112,50400,50405
226,50430,50431
103,50432,50437
112,50500,50542
104,50543,50543
112,50544,50544
104,50545,50548
110,50549,50549
100,50551,50555
112,50557,50559
101,50561,50561
112,50562,50562
100,50570,50570
102,50572,50572
100,50574,50574
112,50575,50578
101,50580,50580
107,50590,50590
111,50592,50592
112,50593,50600
102,50605,50605
111,50606,50606
112,50610,50660
200,50684,50686
111,50688,50688
200,50690,50690
102,50693,50695
112,50700,50700
111,50705,50706
112,50715,50945
102,50947,50948
111,50949,50949
100,50951,50951
102,50953,50953
100,50955,50955
101,50957,50957
211,50959,50959
101,50961,50961
100,50970,50970
102,50972,50972
100,50974,50974
101,50976,50976
211,50978,50978
101,50980,50980
111,51000,51000
112,51005,51080
111,51100,51100
112,51101,51597
200,51600,51610
111,51700,51700
108,51701,51703
111,51705,51710
106,51715,51715
224,51720,51720
200,51725,51798
112,51800,51820
106,51840,51845
112,51860,51920
124,51925,51925
112,51940,51980
106,51990,51992
110,51999,51999
100,52000,52000
101,52001,52001
102,52005,52005
100,52007,52204
101,52214,52240
112,52250,52260
111,52265,52265
109,52270,52275
100,52276,52276
109,52277,52285
112,52287,52287
109,52290,52290
101,52300,52315
112,52317,52318
101,52320,52325
112,52327,52327
101,52330,52330
102,52332,52332
