l,r,CCS
A4253,A4253,243
A4254,A4254,243
A4255,A4255,243
A4256,A4256,243
A4257,A4257,243
A4258,A4258,243
A4259,A4259,243
A4260,A4260,243
A4261,A4261,243
A4262,A4262,243
A4263,A4263,243
A4264,A4264,243
A4265,A4265,243
A4266,A4266,243
A4267,A4267,243
A4268,A4268,243
A4269,A4269,243
A4270,A4270,243
A4280,A4280,243
A4281,A4281,243
A4282,A4282,243
A4283,A4283,243
A4284,A4284,243
A4285,A4285,243
A4286,A4286,243
A4290,A4290,243
A4300,A4300,243
A4301,A4301,243
A4305,A4305,243
A4306,A4306,243
A4310,A4310,243
A4311,A4311,243
A4312,A4312,243
A4313,A4313,243
A4314,A4314,243
A4315,A4315,243
A4316,A4316,243
A4319,A4319,243
A4320,A4320,243
A4321,A4321,243
A4322,A4322,243
A4323,A4323,243
A4324,A4324,243
A4325,A4325,243
A4326,A4326,243
A4327,A4327,243
A4328,A4328,243
A4329,A4329,243
A4330,A4330,243
A4331,A4331,243
A4332,A4332,243
A4333,A4333,243
A4334,A4334,243
A4335,A4335,243
A4336,A4336,243
A4337,A4337,243
A4338,A4338,243
A4340,A4340,243
A4344,A4344,243
A4346,A4346,243
A4347,A4347,243
A4348,A4348,243
A4349,A4349,243
A4351,A4351,243
A4352,A4352,243
A4353,A4353,243
A4354,A4354,243
A4355,A4355,243
A4356,A4356,243
A4357,A4357,243
A4358,A4358,243
A4359,A4359,243
A4360,A4360,243
A4361,A4361,243
A4362,A4362,243
A4363,A4363,243
A4364,A4364,243
A4365,A4365,243
A4366,A4366,243
A4367,A4367,243
A4368,A4368,243
A4369,A4369,243
A4370,A4370,243
A4371,A4371,243
A4372,A4372,243
A4373,A4373,243
A4374,A4374,243
A4375,A4375,243
A4376,A4376,243
A4377,A4377,243
A4378,A4378,243
A4379,A4379,243
A4380,A4380,243
A4381,A4381,243
A4382,A4382,243
A4383,A4383,243
A4384,A4384,243
A4385,A4385,243
A4386,A4386,243
A4387,A4387,243
A4388,A4388,243
A4389,A4389,243
A4390,A4390,243
A4391,A4391,243
A4392,A4392,243
A4393,A4393,243
A4394,A4394,243
A4395,A4395,243
A4396,A4396,243
A4397,A4397,243
A4398,A4398,243
A4399,A4399,243
A4400,A4400,243
A4402,A4402,243
A4404,A4404,243
A4405,A4405,243
A4406,A4406,243
A4407,A4407,243
A4408,A4408,243
A4409,A4409,243
A4410,A4410,243
A4411,A4411,243
A4412,A4412,243
A4413,A4413,243
A4414,A4414,243
A4415,A4415,243
A4416,A4416,243
A4417,A4417,243
A4418,A4418,243
A4419,A4419,243
A4420,A4420,243
A4421,A4421,243
A4422,A4422,243
A4423,A4423,243
A4424,A4424,243
A4425,A4425,243
A4426,A4426,243
A4427,A4427,243
A4428,A4428,243
A4429,A4429,243
A4430,A4430,243
A4431,A4431,243
A4432,A4432,243
A4433,A4433,243
A4434,A4434,243
A4435,A4435,243
A4450,A4450,243
A4452,A4452,243
A4454,A4454,243
A4455,A4455,243
A4456,A4456,243
A4458,A4458,243
A4459,A4459,243
A4460,A4460,243
A4461,A4461,243
A4462,A4462,243
A4463,A4463,243
A4464,A4464,243
A4465,A4465,243
A4466,A4466,243
A4467,A4467,243
A4470,A4470,243
A4480,A4480,243
A4481,A4481,243
A4483,A4483,243
A4490,A4490,243
A4495,A4495,243
A4500,A4500,243
A4510,A4510,243
A4520,A4520,243
A4521,A4521,243
A4522,A4522,243
A4523,A4523,243
A4524,A4524,243
A4525,A4525,243
A4526,A4526,243
A4527,A4527,243
A4528,A4528,243
A4529,A4529,243
A4530,A4530,243
A4531,A4531,243
A4532,A4532,243
A4533,A4533,243
A4534,A4534,243
A4535,A4535,243
A4536,A4536,243
A4537,A4537,243
A4538,A4538,243
A4550,A4550,243
A4553,A4553,243
A4554,A4554,243
A4555,A4555,243
A4556,A4556,243
A4557,A4557,243
A4558,A4558,243
A4559,A4559,243
A4560,A4560,243
A4561,A4561,243
A4562,A4562,243
A4563,A4563,243
A4565,A4565,243
A4566,A4566,243
A4570,A4570,243
