cui,test
C0370410,170.0
C0370411,170.0
C3702619,170.0
C3517906,170.0
C0370411,170.0
C3704431,170.0
C0370411,170.0
C0370411,170.0
C0370412,170.0
C3702620,170.0
C3517907,170.0
C3704432,170.0
C3704435,170.0
C3704434,170.0
C3704433,170.0
C0370412,170.0
C0370412,170.0
C0370413,170.0
C3702620,170.0
C3517907,170.0
C3704436,170.0
C0370413,170.0
C0370413,170.0
C0370413,170.0
C0370414,170.0
C3702621,170.0
C3517909,170.0
C3517910,170.0
C3517908,170.0
C3704440,170.0
C3704438,170.0
C3704441,170.0
C3704437,170.0
C3704443,170.0
C3704439,170.0
C3704442,170.0
C0370414,170.0
C0370414,170.0
C0370415,170.0
C3702621,170.0
C3517909,170.0
C3517910,170.0
C3517908,170.0
C3704449,170.0
C3704444,170.0
C3704445,170.0
C3704447,170.0
C3704448,170.0
C3704446,170.0
C0370415,170.0
C0370415,170.0
C0199069,232.0
C3511759,232.0
C3517725,232.0
C0199069,232.0
C0199069,232.0
C0370329,232.0
C3511760,232.0
C0199065,232.0
C0199067,232.0
C0370329,232.0
C0370329,232.0
C0370416,170.0
C3511907,170.0
C0191642,170.0
C3704454,170.0
C3704451,170.0
C3704452,170.0
C3704450,170.0
C3704453,170.0
C0370416,170.0
C0370416,170.0
C0370417,170.0
C3511908,170.0
C0191642,170.0
C3704455,170.0
C3704457,170.0
C3704456,170.0
C3704450,170.0
C3704453,170.0
C0370417,170.0
C0370417,170.0
C0370418,170.0
C3511909,170.0
C0191642,170.0
C3704450,170.0
C3704460,170.0
C3704459,170.0
C3704458,170.0
C3704453,170.0
C0370418,170.0
C0370418,170.0
C0370419,170.0
C3511910,170.0
C0191642,170.0
C3704450,170.0
C3704463,170.0
C3704461,170.0
C3704462,170.0
C3704453,170.0
C0370419,170.0
C0370419,170.0
C0370420,170.0
C3511911,170.0
C0191642,170.0
C3704453,170.0
C3704465,170.0
C3704464,170.0
C3704450,170.0
C3704466,170.0
C0370420,170.0
C0370420,170.0
C0370421,170.0
C3511912,170.0
C0191642,170.0
C3704467,170.0
C3704453,170.0
C3704450,170.0
C3704468,170.0
C3704469,170.0
C0370421,170.0
C0370421,170.0
C0370422,170.0
C3511913,170.0
C2091492,170.0
C2091482,170.0
C2091480,170.0
C2091484,170.0
C2091488,170.0
C3704473,170.0
C3704470,170.0
C3704471,170.0
C3704472,170.0
C3704474,170.0
C0370422,170.0
C0370422,170.0
C0370423,170.0
C3511914,170.0
C2091492,170.0
C2091480,170.0
C2091484,170.0
C2091488,170.0
C2091482,170.0
C3704478,170.0
C3704477,170.0
C3704476,170.0
C3704479,170.0
C3704475,170.0
C0370423,170.0
C0370423,170.0
C0370424,170.0
C3511915,170.0
C2091480,170.0
C2091482,170.0
C2091484,170.0
C2091488,170.0
C2091492,170.0
C3704482,170.0
C3704484,170.0
C3704481,170.0
C3704483,170.0
C3704480,170.0
C0370424,170.0
C0370424,170.0
C0370425,170.0
C3511916,170.0
C2091492,170.0
C2091488,170.0
C2091482,170.0
C2091484,170.0
C2091480,170.0
C3704487,170.0
C3704489,170.0
C3704485,170.0
C3704486,170.0
C3704488,170.0
C0370425,170.0
C0370425,170.0
C0370426,170.0
C3511917,170.0
C2091482,170.0
C2091480,170.0
C2091492,170.0
C2091484,170.0
C2091488,170.0
C3704491,170.0
C3704490,170.0
C3704494,170.0
C3704493,170.0
C3704492,170.0
C0370426,170.0
C0370426,170.0
C0370427,170.0
C3511918,170.0
C2091488,170.0
C2091484,170.0
C2091482,170.0
C2091492,170.0
C2091480,170.0
C3704497,170.0
C3704495,170.0
C3704496,170.0
C3704498,170.0
C3704499,170.0
C0370427,170.0
C0370427,170.0
C0370428,170.0
C3511919,170.0
C2091468,170.0
C2091474,170.0
C2091470,170.0
C2091478,170.0
C2091472,170.0
C3704501,170.0
C3704500,170.0
C3704503,170.0
C3704504,170.0
C3704502,170.0
C0370428,170.0
C0370428,170.0
C0370429,170.0
C3511920,170.0
C2091472,170.0
C2091478,170.0
C2091470,170.0
C2091474,170.0
C2091468,170.0
C3704506,170.0
C3704508,170.0
C3704509,170.0
C3704507,170.0
C3704505,170.0
C0370429,170.0
C0370429,170.0
C0370430,170.0
C3511921,170.0
C2091470,170.0
C2091478,170.0
C2091474,170.0
C2091472,170.0
C2091468,170.0
C3704513,170.0
C3704510,170.0
C3704512,170.0
C3704514,170.0
C3704511,170.0
C0370430,170.0
C0370430,170.0
C0370431,170.0
C3511922,170.0
C2091478,170.0
C2091468,170.0
C2091474,170.0
C2091472,170.0
C2091470,170.0
C3704517,170.0
C3704515,170.0
C3704516,170.0
C3704519,170.0
C3704518,170.0
C0370431,170.0
C0370431,170.0
C0370432,170.0
C0370432,170.0
C2091478,170.0
C2091468,170.0
C2091474,170.0
C2091470,170.0
C2091472,170.0
C3704520,170.0
C3704522,170.0
C3704524,170.0
C3704523,170.0
C3704521,170.0
C0370432,170.0
C0370432,170.0
C0370433,170.0
C3511923,170.0
C2091468,170.0
C2091478,170.0
C2091472,170.0
C2091470,170.0
C2091474,170.0
C3704527,170.0
C3704526,170.0
C3704528,170.0
C3704525,170.0
C0370433,170.0
C0370433,170.0
C0370330,232.0
C0370330,232.0
C3869328,232.0
C3869329,232.0
C0370330,232.0
C0370330,232.0
C0519748,174.0
C3511924,174.0
C2095747,174.0
C2095747,174.0
C0519748,174.0
C0519748,174.0
C0519749,174.0
C3511925,174.0
C2960713,174.0
C0519749,174.0
C0519749,174.0
C0519749,174.0
C0519750,174.0
C3511926,174.0
C2960713,174.0
C0519750,174.0
C0519750,174.0
C0519750,174.0
C1314013,232.0
C1314013,232.0
C3869326,232.0
C3869325,232.0
C3869327,232.0
C1314013,232.0
C1314013,232.0
C0370437,174.0
C3511927,174.0
C2096011,174.0
C2096010,174.0
C3704529,174.0
C3704530,174.0
C0370437,174.0
C0370437,174.0
C0370439,174.0
C3511927,174.0
C2096010,174.0
C2096011,174.0
C3704532,174.0
C3704531,174.0
C0370439,174.0
C0370439,174.0
C0730391,168.0
C3511928,168.0
C0730391,168.0
C0730391,168.0
C0730391,168.0
C0370440,174.0
C0191722,174.0
C0191724,174.0
C0191808,174.0
C3704533,174.0
C3704534,174.0
C3704535,174.0
C3704536,174.0
C0370440,174.0
C0370440,174.0
C0191738,173.0
C0191738,173.0
C0191738,173.0
C3704540,173.0
C2061965,173.0
C2061969,173.0
C2061966,173.0
C2061968,173.0
C0191738,173.0
C0191738,173.0
C0191796,175.0
C0191796,175.0
C0191796,175.0
C0191796,175.0
C0191796,175.0
C0370443,175.0
C0370443,175.0
C0370443,175.0
C0370443,175.0
C0370443,175.0
C0191727,174.0
C3511930,174.0
C0191727,174.0
C0191727,174.0
C0191727,174.0
C0191727,174.0
C0337350,175.0
C3511931,175.0
C0948308,175.0
C0191654,175.0
C3704541,175.0
C3704542,175.0
C0337350,175.0
C0337350,175.0
C0191655,175.0
C3511931,175.0
C0191654,175.0
C0948308,175.0
C3704543,175.0
C3704544,175.0
C0191655,175.0
C0191655,175.0
C0191656,175.0
C3511931,175.0
C0191654,175.0
C0948308,175.0
C3704545,175.0
C3704546,175.0
C0191656,175.0
C0191656,175.0
C0370444,231.0
C3511932,231.0
C0021490,231.0
C0370444,231.0
C0370444,231.0
C0370444,231.0
C0370445,231.0
C3511933,231.0
C0021490,231.0
C0370445,231.0
C0370445,231.0
C0370445,231.0
C0370446,174.0
C3511934,174.0
C0191393,174.0
C3704548,174.0
C3704547,174.0
C0370446,174.0
C0370446,174.0
C0370447,174.0
C3511935,174.0
C0191393,174.0
C3704549,174.0
C3704550,174.0
C0370447,174.0
C0370447,174.0
C0370448,174.0
C3702622,174.0
C0191393,174.0
C3704552,174.0
C3704551,174.0
C0370448,174.0
C0370448,174.0
C0370449,174.0
C0370449,174.0
C0191390,174.0
C0370449,174.0
C0370449,174.0
C0370449,174.0
C0370449,174.0
C0370450,174.0
C0370450,174.0
C0191390,174.0
C0370450,174.0
C3704553,174.0
C0370450,174.0
C0370450,174.0
C0370451,174.0
C0370451,174.0
C0191390,174.0
C3704554,174.0
C0370451,174.0
C0370451,174.0
C0370451,174.0
C0370452,174.0
C0370452,174.0
C0191390,174.0
C0370452,174.0
C0370452,174.0
C0370452,174.0
C0370452,174.0
C0370453,175.0
C0184968,175.0
C0184968,175.0
C3704555,175.0
C0370453,175.0
C0370453,175.0
C0191401,175.0
C0191401,175.0
C0191401,175.0
C0191401,175.0
C0191401,175.0
C0191400,175.0
C0844938,175.0
C0844938,175.0
C0191400,175.0
C0191400,175.0
C0191400,175.0
C0370455,174.0
C0370455,174.0
C0370455,174.0
C0370455,174.0
C0370455,174.0
C0370455,174.0
C0812471,231.0
C0812471,231.0
C3517913,231.0
C3517915,231.0
C3517916,231.0
C3517914,231.0
C0812471,231.0
C0812471,231.0
C0973252,231.0
C3511938,231.0
C0973252,231.0
C0973252,231.0
C0973252,231.0
C0973253,174.0
C3511939,174.0
C0973253,174.0
C0973253,174.0
C0973253,174.0
C0973254,231.0
C3511940,231.0
C0973254,231.0
C0973254,231.0
C0973254,231.0
C0370249,232.0
C3511655,232.0
C3517647,232.0
C3517649,232.0
C3517648,232.0
C3869391,232.0
C0198863,232.0
C3869392,232.0
C0370249,232.0
C0370249,232.0
C0199092,232.0
C0199092,232.0
C0199092,232.0
C0199092,232.0
C0199092,232.0
C0370457,171.0
C3511941,171.0
C3517917,171.0
C3517920,171.0
C3517918,171.0
C3517922,171.0
C3517921,171.0
C3517919,171.0
C3704561,171.0
C3704556,171.0
C3704559,171.0
C3704557,171.0
C3704558,171.0
C3704560,171.0
C0370457,171.0
C0370457,171.0
C0370458,171.0
C3511942,171.0
C3517919,171.0
C3517918,171.0
C3517920,171.0
C3517922,171.0
